CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
749595529,34,MANHATTAN,01/01/2016,00:01:00,01/01/2018,00:01:00,COMPLETED,,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,09/06/2021,"1,002,106","249,501",40.85148777,-73.93545797,"(40.85148777400008, -73.93545796699993)"
134301299,25,MANHATTAN,01/01/2016,08:00:00,12/31/2017,09:00:00,COMPLETED,,N.Y. HOUSING POLICE,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",RESIDENCE - PUBLIC HOUSING,08/11/2021,"1,000,555","230,994",40.80069433,-73.94110929,"(40.800694331000045, -73.94110928599997)"
813010521,13,MANHATTAN,01/01/2016,00:01:00,05/01/2019,23:59:00,COMPLETED,,N.Y. POLICE DEPT,233,MISDEMEANOR,INSIDE,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",PUBLIC SCHOOL,06/27/2021,"988,874","207,673",40.73669807,-73.98331603,"(40.736698070000045, -73.98331602599995)"
314597003,30,MANHATTAN,01/01/2016,00:00:00,06/14/2021,19:22:00,COMPLETED,,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,180,COURSE OF SEXUAL CONDUCT AGAIN,RESIDENCE - APT. HOUSE,06/14/2021,"999,794","241,252",40.82885105,-73.94383419,"(40.82885104500008, -73.94383419099995)"
253714310,20,MANHATTAN,01/01/2016,00:01:00,12/31/2019,23:59:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",RESIDENCE - APT. HOUSE,03/30/2021,"990,909","224,857",40.78386245,-73.97595583,"(40.78386245300004, -73.97595583399993)"
193519890,32,MANHATTAN,01/01/2016,00:01:00,12/31/2016,23:59:00,COMPLETED,,N.Y. POLICE DEPT,116,FELONY,INSIDE,SEX CRIMES,,177,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,01/18/2021,"999,358","236,472",40.81573205,-73.94542041,"(40.81573205300003, -73.94542041099999)"
540916634,17,MANHATTAN,01/02/2016,12:00:00,01/08/2017,12:00:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",RESIDENCE - APT. HOUSE,05/27/2021,"992,408","214,016",40.75410547,-73.97055611,"(40.75410546500007, -73.97055610999998)"
514451869,13,MANHATTAN,02/08/2016,00:01:00,11/04/2020,23:59:00,COMPLETED,,N.Y. POLICE DEPT,340,MISDEMEANOR,INSIDE,FRAUDS,,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",PUBLIC BUILDING,03/16/2021,"988,699","208,577",40.73917942,-73.9839469,"(40.73917941600007, -73.98394690499998)"
870035835,33,MANHATTAN,02/24/2016,00:01:00,12/30/2019,23:59:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,407,"LARCENY,GRAND BY DISHONEST EMP",OTHER,02/16/2021,"1,000,921","242,961",40.8335397,-73.9397576,"(40.83353970300004, -73.93975760199999)"
370776797,28,MANHATTAN,03/01/2016,00:00:00,06/13/2021,00:00:00,COMPLETED,,N.Y. POLICE DEPT,104,FELONY,INSIDE,SEX CRIMES,,157,RAPE 1,RESIDENCE - APT. HOUSE,07/08/2021,"997,376","233,927",40.8087499,-73.95258581,"(40.80874990400008, -73.95258580599993)"
407661851,30,MANHATTAN,03/01/2016,07:00:00,03/18/2021,16:00:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,INSIDE,GRAND LARCENY,,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",RESIDENCE - APT. HOUSE,03/18/2021,"996,311","238,742",40.82196725,-73.9564243,"(40.82196725000005, -73.95642429999998)"
945278661,1,MANHATTAN,03/04/2016,22:00:00,03/04/2021,23:59:00,COMPLETED,,N.Y. POLICE DEPT,233,MISDEMEANOR,FRONT OF,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",STREET,12/28/2021,"982,285","201,682",40.72025522,-74.00709028,"(40.72025522300004, -74.00709027999993)"
351205390,26,MANHATTAN,03/27/2016,18:00:00,03/27/2016,19:00:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT,,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,05/10/2021,"995,181","235,424",40.81286174,-73.96051246,"(40.81286174100006, -73.96051246499997)"
554783355,32,MANHATTAN,04/06/2016,10:00:00,04/07/2021,11:30:00,COMPLETED,,N.Y. POLICE DEPT,112,FELONY,INSIDE,FRAUDS,,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,04/07/2021,"1,000,229","236,101",40.81471223,-73.94227461,"(40.814712230000055, -73.94227461199995)"
419849912,19,MANHATTAN,04/20/2016,09:00:00,05/03/2021,11:30:00,COMPLETED,,N.Y. POLICE DEPT,112,FELONY,FRONT OF,FRAUDS,,739,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,05/05/2021,"995,088","221,758",40.77535238,-73.96087049,"(40.77535238000007, -73.96087048599996)"
