year,cases,kind
1990,2262,murder
1990,3126,rape
1990,100280,robbery
1990,44122,assault
1990,122055,burglary
1990,108487,grand_larceny
1990,146925,GLA
1993,1927,murder
1993,3225,rape
1993,85892,robbery
1993,41121,assault
1993,100936,burglary
1993,85737,grand_larceny
1993,111622,GLA
1998,629,murder
1998,2476,rape
1998,39003,robbery
1998,28848,assault
1998,47181,burglary
1998,51461,grand_larceny
1998,43315,GLA
2001,649,murder
2001,1930,rape
2001,27873,robbery
2001,23020,assault
2001,32694,burglary
2001,46291,grand_larceny
2001,29607,GLA
2021,488,murder
2021,1491,rape
2021,13831,robbery
2021,22835,assault
2021,12811,burglary
2021,40870,grand_larceny
2021,10415,GLA
